================== Tensiones IETFEM v2.11 ===========================


Archivo de entrada: ../../input/3D/Truss_3D_sd/grua.txt  ... 

Tiempo en resolver: 1604.753 segundos

Tipo de problema: Truss 3D pequeñas deformaciones y desplazamientos

Magnitud de fuerza: kN 

Magnitud de longitud: m 

Número de elementos: 1294 

Sigma_lin = N_lin/A  

------------------------- 
 Tensiones (kN/m^2)              
------------------------- 
| Elem |    Sigma_lin   | 
|  395 |    2.68e+004   |
|  396 |    2.68e+004   |
|  397 |   -2.04e+004   |
|  398 |   -2.04e+004   |
|  399 |   -6.76e+004   |
|  400 |   -6.76e+004   |
|  401 |    1.69e+004   |
|  402 |    1.69e+004   |
|  403 |   -2.18e+005   |
|  404 |    8.35e+004   |
|  405 |    1.03e+005   |
|  406 |   -4.96e+004   |
|  407 |    1.69e+004   |
|  408 |    2.66e+004   |
|  409 |    2.66e+004   |
|  410 |   -2.04e+004   |
|  411 |   -2.04e+004   |
|  412 |   -6.75e+004   |
|  413 |   -6.75e+004   |
|  414 |    1.69e+004   |
|  415 |    1.69e+004   |
|  416 |   -2.18e+005   |
|  417 |    8.35e+004   |
|  418 |    1.03e+005   |
|  419 |   -4.97e+004   |
|  420 |    1.69e+004   |
|  421 |    2.67e+004   |
|  422 |    2.67e+004   |
|  423 |   -2.04e+004   |
|  424 |   -2.04e+004   |
|  425 |   -6.75e+004   |
|  426 |   -6.75e+004   |
|  427 |    1.69e+004   |
|  428 |    1.69e+004   |
|  429 |   -2.18e+005   |
|  430 |    8.35e+004   |
|  431 |    1.03e+005   |
|  432 |   -4.97e+004   |
|  433 |    1.69e+004   |
|  434 |    2.67e+004   |
|  435 |    2.67e+004   |
|  436 |   -2.04e+004   |
|  437 |   -2.04e+004   |
|  438 |   -6.75e+004   |
|  439 |   -6.75e+004   |
|  440 |    1.69e+004   |
|  441 |    1.69e+004   |
|  442 |   -2.18e+005   |
|  443 |    8.35e+004   |
|  444 |    1.03e+005   |
|  445 |   -4.97e+004   |
|  446 |    1.69e+004   |
|  447 |    2.67e+004   |
|  448 |    2.67e+004   |
|  449 |   -2.04e+004   |
|  450 |   -2.04e+004   |
|  451 |   -6.75e+004   |
|  452 |   -6.75e+004   |
|  453 |    1.69e+004   |
|  454 |    1.69e+004   |
|  455 |   -2.18e+005   |
|  456 |    8.35e+004   |
|  457 |    1.03e+005   |
|  458 |   -4.97e+004   |
|  459 |    1.69e+004   |
|  460 |    2.67e+004   |
|  461 |    2.67e+004   |
|  462 |   -2.04e+004   |
|  463 |   -2.04e+004   |
|  464 |   -6.75e+004   |
|  465 |   -6.75e+004   |
|  466 |    1.69e+004   |
|  467 |    1.69e+004   |
|  468 |   -2.18e+005   |
|  469 |    8.35e+004   |
|  470 |    1.03e+005   |
|  471 |   -4.97e+004   |
|  472 |    1.69e+004   |
|  473 |    2.67e+004   |
|  474 |    2.67e+004   |
|  475 |   -2.04e+004   |
|  476 |   -2.04e+004   |
|  477 |   -6.75e+004   |
|  478 |   -6.75e+004   |
|  479 |    1.69e+004   |
|  480 |    1.69e+004   |
|  481 |   -2.18e+005   |
|  482 |    8.35e+004   |
|  483 |    1.03e+005   |
|  484 |   -4.97e+004   |
|  485 |    1.69e+004   |
|  486 |    2.67e+004   |
|  487 |    2.67e+004   |
|  488 |   -2.04e+004   |
|  489 |   -2.04e+004   |
|  490 |   -6.75e+004   |
|  491 |   -6.75e+004   |
|  492 |    1.69e+004   |
|  493 |    1.69e+004   |
|  494 |   -2.18e+005   |
|  495 |    8.35e+004   |
|  496 |    1.03e+005   |
|  497 |   -4.97e+004   |
|  498 |    1.69e+004   |
|  499 |    2.67e+004   |
|  500 |    2.67e+004   |
|  501 |   -2.04e+004   |
|  502 |   -2.04e+004   |
|  503 |   -6.75e+004   |
|  504 |   -6.75e+004   |
|  505 |    1.69e+004   |
|  506 |    1.69e+004   |
|  507 |   -2.18e+005   |
|  508 |    8.35e+004   |
|  509 |    1.03e+005   |
|  510 |   -4.97e+004   |
|  511 |    1.69e+004   |
|  512 |    2.67e+004   |
|  513 |    2.67e+004   |
|  514 |   -2.04e+004   |
|  515 |   -2.04e+004   |
|  516 |   -6.75e+004   |
|  517 |   -6.75e+004   |
|  518 |    1.69e+004   |
|  519 |    1.69e+004   |
|  520 |   -2.18e+005   |
|  521 |    8.35e+004   |
|  522 |    1.03e+005   |
|  523 |   -4.97e+004   |
|  524 |    1.69e+004   |
|  525 |    2.67e+004   |
|  526 |    2.67e+004   |
|  527 |   -2.04e+004   |
|  528 |   -2.04e+004   |
|  529 |   -6.75e+004   |
|  530 |   -6.75e+004   |
|  531 |    1.69e+004   |
|  532 |    1.69e+004   |
|  533 |   -2.18e+005   |
|  534 |    8.35e+004   |
|  535 |    1.03e+005   |
|  536 |   -4.97e+004   |
|  537 |    1.69e+004   |
|  538 |    2.67e+004   |
|  539 |    2.67e+004   |
|  540 |   -2.04e+004   |
|  541 |   -2.04e+004   |
|  542 |   -6.75e+004   |
|  543 |   -6.75e+004   |
|  544 |    1.69e+004   |
|  545 |    1.69e+004   |
|  546 |   -2.18e+005   |
|  547 |    8.35e+004   |
|  548 |    1.03e+005   |
|  549 |   -4.97e+004   |
|  550 |    1.69e+004   |
|  551 |    2.67e+004   |
|  552 |    2.67e+004   |
|  553 |   -2.04e+004   |
|  554 |   -2.04e+004   |
|  555 |   -6.75e+004   |
|  556 |   -6.75e+004   |
|  557 |    1.69e+004   |
|  558 |    1.69e+004   |
|  559 |   -2.18e+005   |
|  560 |    8.35e+004   |
|  561 |    1.03e+005   |
|  562 |   -4.97e+004   |
|  563 |    1.69e+004   |
|  564 |    2.67e+004   |
|  565 |    2.67e+004   |
|  566 |   -2.04e+004   |
|  567 |   -2.04e+004   |
|  568 |   -6.75e+004   |
|  569 |   -6.75e+004   |
|  570 |    1.69e+004   |
|  571 |    1.69e+004   |
|  572 |   -2.18e+005   |
