================== Desplazamiento Lineal IETFEM v2.11 ===========================


Archivo de entrada: ../../input/3D/Truss_3D_sd/grua.txt  ... 

Tiempo en resolver: 1604.753 segundos

Tipo de problema: Truss 3D pequeñas deformaciones y desplazamientos

Magnitud de longitud: m 

Número de nodos: 289 

-------------------------------------------------------- 
                   Desplazamientos (m)                 
-------------------------------------------------------- 
| Nodo |       u_x     |       u_y     |       u_z     |
|  194 |    9.22e-001  |    4.23e-004  |   -5.23e-002  |
|  195 |    9.22e-001  |   -2.42e-004  |    2.47e-002  |
|  196 |    1.00e+000  |    3.85e-004  |   -5.45e-002  |
|  197 |    1.00e+000  |   -2.89e-004  |    2.57e-002  |
|  198 |    1.08e+000  |    5.45e-004  |   -5.66e-002  |
|  199 |    1.08e+000  |   -4.95e-005  |    2.68e-002  |
|  200 |    1.17e+000  |    1.55e-004  |   -5.83e-002  |
|  201 |    1.17e+000  |   -2.82e-004  |    2.78e-002  |
|  202 |    1.26e+000  |    3.38e-004  |   -6.00e-002  |
|  203 |    1.26e+000  |   -1.90e-004  |    2.87e-002  |
|  204 |    1.35e+000  |    2.67e-004  |   -6.15e-002  |
|  205 |    1.35e+000  |   -1.70e-004  |    2.95e-002  |
|  206 |    1.44e+000  |    2.35e-004  |   -6.28e-002  |
|  207 |    1.44e+000  |   -1.30e-004  |    3.01e-002  |
|  208 |    1.53e+000  |    1.98e-004  |   -6.40e-002  |
|  209 |    1.53e+000  |   -9.42e-005  |    3.06e-002  |
|  210 |    1.63e+000  |    1.62e-004  |   -6.50e-002  |
|  211 |    1.63e+000  |   -5.79e-005  |    3.08e-002  |
|  212 |    1.72e+000  |    1.18e-004  |   -6.57e-002  |
|  213 |    1.72e+000  |   -1.96e-005  |    3.09e-002  |
|  214 |    1.82e+000  |    1.77e-004  |   -6.64e-002  |
|  215 |    1.82e+000  |    2.52e-005  |    3.08e-002  |
|  216 |    1.17e+000  |    1.24e-005  |    1.11e-001  |
|  217 |    1.08e+000  |    1.32e-004  |    1.11e-001  |
|  218 |    1.17e+000  |    7.62e-005  |    1.93e-001  |
|  219 |    1.08e+000  |   -1.66e-005  |    1.93e-001  |
|  220 |    1.17e+000  |    1.84e-004  |    2.77e-001  |
|  221 |    1.08e+000  |   -1.11e-004  |    2.77e-001  |
|  222 |    1.17e+000  |    2.82e-004  |    3.61e-001  |
|  223 |    1.08e+000  |   -2.18e-004  |    3.61e-001  |
|  224 |    1.17e+000  |    3.82e-004  |    4.48e-001  |
|  225 |    1.08e+000  |   -2.95e-004  |    4.48e-001  |
|  226 |    1.17e+000  |    4.17e-004  |    5.39e-001  |
|  227 |    1.08e+000  |   -3.37e-004  |    5.39e-001  |
|  228 |    1.18e+000  |    3.91e-004  |    6.34e-001  |
|  229 |    1.08e+000  |   -3.04e-004  |    6.34e-001  |
|  230 |    1.18e+000  |    2.99e-004  |    7.33e-001  |
|  231 |    1.08e+000  |   -2.36e-004  |    7.33e-001  |
|  232 |    1.18e+000  |    2.16e-004  |    8.34e-001  |
|  233 |    1.08e+000  |   -1.34e-004  |    8.34e-001  |
|  234 |    1.18e+000  |    7.22e-005  |    9.37e-001  |
|  235 |    1.08e+000  |   -6.10e-005  |    9.37e-001  |
|  236 |    1.18e+000  |    9.11e-006  |    1.04e+000  |
|  237 |    1.08e+000  |   -3.42e-006  |    1.04e+000  |
|  238 |    1.08e+000  |    1.96e-004  |   -1.45e-001  |
|  239 |    1.17e+000  |   -2.31e-004  |   -1.45e-001  |
|  240 |    1.08e+000  |    2.53e-004  |   -2.34e-001  |
|  241 |    1.17e+000  |   -1.42e-004  |   -2.34e-001  |
|  242 |    1.08e+000  |    2.29e-004  |   -3.26e-001  |
|  243 |    1.17e+000  |   -1.41e-004  |   -3.26e-001  |
|  244 |    1.08e+000  |    2.18e-004  |   -4.19e-001  |
|  245 |    1.17e+000  |   -1.26e-004  |   -4.19e-001  |
|  246 |    1.08e+000  |    2.05e-004  |   -5.14e-001  |
|  247 |    1.17e+000  |   -1.14e-004  |   -5.13e-001  |
