================== Fuerza Axial IETFEM v2.11 ===========================


Archivo de entrada: ../../input/3D/Truss_3D_sd/grua.txt  ... 

Tiempo en resolver: 1604.753 

Tipo de problema: Truss 3D pequeñas deformaciones y desplazamientos

Magnitud de fuerza: kN 

Número de elementos: 1294 


Fuerza Axial con análisis Lineal: 

---------------------------------- 
| Elemento |  Fuerza Axial (kN)  | 
|      567 |       -1.02e+002    | 
|      568 |       -3.37e+002    | 
|      569 |       -3.37e+002    | 
|      570 |        8.46e+001    | 
|      571 |        8.46e+001    | 
|      572 |       -1.09e+003    | 
|      573 |        4.17e+002    | 
|      574 |        5.15e+002    | 
|      575 |       -2.48e+002    | 
|      576 |        8.46e+001    | 
|      577 |        1.33e+002    | 
|      578 |        1.33e+002    | 
|      579 |       -1.02e+002    | 
|      580 |       -1.02e+002    | 
|      581 |       -3.37e+002    | 
|      582 |       -3.37e+002    | 
|      583 |        8.46e+001    | 
|      584 |        8.46e+001    | 
|      585 |       -1.09e+003    | 
|      586 |        4.17e+002    | 
|      587 |        5.15e+002    | 
|      588 |       -2.48e+002    | 
|      589 |        8.46e+001    | 
|      590 |        1.33e+002    | 
|      591 |        1.33e+002    | 
|      592 |       -1.02e+002    | 
|      593 |       -1.02e+002    | 
|      594 |       -3.37e+002    | 
|      595 |       -3.37e+002    | 
|      596 |        8.46e+001    | 
|      597 |        8.46e+001    | 
|      598 |       -1.09e+003    | 
|      599 |        4.17e+002    | 
|      600 |        5.15e+002    | 
|      601 |       -2.48e+002    | 
|      602 |        8.46e+001    | 
|      603 |        1.33e+002    | 
|      604 |        1.33e+002    | 
|      605 |       -1.02e+002    | 
|      606 |       -1.02e+002    | 
|      607 |       -3.37e+002    | 
|      608 |       -3.37e+002    | 
|      609 |        8.46e+001    | 
|      610 |        8.46e+001    | 
|      611 |       -1.09e+003    | 
|      612 |        4.17e+002    | 
|      613 |        5.15e+002    | 
|      614 |       -2.48e+002    | 
|      615 |        8.46e+001    | 
|      616 |        1.33e+002    | 
|      617 |        1.33e+002    | 
|      618 |       -1.02e+002    | 
|      619 |       -1.02e+002    | 
|      620 |       -3.37e+002    | 
|      621 |       -3.37e+002    | 
|      622 |        8.46e+001    | 
|      623 |        8.46e+001    | 
|      624 |       -1.09e+003    | 
|      625 |        4.17e+002    | 
|      626 |        5.15e+002    | 
|      627 |       -2.48e+002    | 
|      628 |        8.46e+001    | 
|      629 |        1.33e+002    | 
|      630 |        1.33e+002    | 
|      631 |       -1.02e+002    | 
|      632 |       -1.02e+002    | 
|      633 |       -3.37e+002    | 
|      634 |       -3.37e+002    | 
|      635 |        8.46e+001    | 
|      636 |        8.46e+001    | 
|      637 |       -1.09e+003    | 
|      638 |        4.18e+002    | 
|      639 |        5.15e+002    | 
|      640 |       -2.48e+002    | 
|      641 |        8.45e+001    | 
|      642 |        1.33e+002    | 
|      643 |        1.33e+002    | 
|      644 |       -1.02e+002    | 
|      645 |       -1.02e+002    | 
|      646 |       -3.37e+002    | 
|      647 |       -3.37e+002    | 
|      648 |        8.46e+001    | 
|      649 |        8.46e+001    | 
|      650 |       -1.09e+003    | 
|      651 |        4.17e+002    | 
|      652 |        5.15e+002    | 
|      653 |       -2.49e+002    | 
|      654 |        8.54e+001    | 
|      655 |        1.33e+002    | 
|      656 |        1.33e+002    | 
|      657 |       -1.02e+002    | 
|      658 |       -1.02e+002    | 
|      659 |       -3.38e+002    | 
|      660 |       -3.38e+002    | 
|      661 |        8.46e+001    | 
|      662 |        8.46e+001    | 
|      663 |       -1.09e+003    | 
|      664 |        4.23e+002    | 
|      665 |        5.15e+002    | 
|      666 |       -2.42e+002    | 
|      667 |        7.78e+001    | 
|      668 |        1.35e+002    | 
|      669 |        1.35e+002    | 
|      670 |       -1.04e+002    | 
|      671 |       -1.04e+002    | 
|      672 |       -3.36e+002    | 
|      673 |       -3.36e+002    | 
|      674 |        8.40e+001    | 
|      675 |        8.40e+001    | 
|      676 |       -1.09e+003    | 
|      677 |        3.85e+002    | 
|      678 |        5.13e+002    | 
|      679 |       -2.89e+002    | 
|      680 |        1.42e+002    | 
|      681 |        1.24e+002    | 
|      682 |        1.24e+002    | 
|      683 |       -9.05e+001    | 
|      684 |       -9.05e+001    | 
|      685 |       -3.46e+002    | 
|      686 |       -3.46e+002    | 
|      687 |        9.49e+001    | 
|      688 |        9.49e+001    | 
|      689 |       -1.05e+003    | 
|      690 |        5.45e+002    | 
|      691 |        5.48e+002    | 
|      692 |       -4.95e+001    | 
|      693 |       -4.59e+002    | 
|      694 |        1.89e+002    | 
|      695 |        1.89e+002    | 
|      696 |       -2.05e+002    | 
|      697 |       -2.05e+002    | 
|      698 |       -2.93e+002    | 
|      699 |       -2.93e+002    | 
|      700 |       -1.06e+002    | 
|      701 |       -1.06e+002    | 
|      702 |       -8.44e+002    | 
|      703 |        1.55e+002    | 
|      704 |        4.95e+002    | 
|      705 |       -2.82e+002    | 
|      706 |        3.38e+002    | 
|      707 |        1.65e+002    | 
|      708 |        1.65e+002    | 
|      709 |       -2.92e+002    | 
|      710 |        5.70e+001    | 
|      711 |       -2.47e+002    | 
|      712 |       -2.47e+002    | 
|      713 |        1.37e+002    | 
|      714 |        1.37e+002    | 
|      715 |       -8.48e+002    | 
|      716 |        3.38e+002    | 
|      717 |        4.59e+002    | 
|      718 |       -1.90e+002    | 
|      719 |        2.07e+001    | 
|      720 |        1.12e+002    | 
|      721 |        1.12e+002    | 
|      722 |       -8.28e+001    | 
|      723 |        6.79e+001    | 
|      724 |       -3.01e+002    | 
|      725 |       -3.01e+002    | 
|      726 |        4.74e+001    | 
|      727 |        4.74e+001    | 
|      728 |       -7.51e+002    | 
|      729 |        2.67e+002    | 
|      730 |        3.98e+002    | 
|      731 |       -1.70e+002    | 
|      732 |        5.58e+001    | 
|      733 |        1.09e+002    | 
|      734 |        1.09e+002    | 
|      735 |       -1.45e+002    | 
|      736 |        6.10e+000    | 
|      737 |       -2.24e+002    | 
|      738 |       -2.24e+002    | 
|      739 |        5.23e+001    | 
|      740 |        5.23e+001    | 
|      741 |       -6.63e+002    | 
|      742 |        2.35e+002    | 
|      743 |        3.08e+002    | 
|      744 |       -1.30e+002    | 
|      745 |        5.16e+001    | 
|      746 |        7.88e+001    | 
|      747 |        7.88e+001    | 
|      748 |       -1.37e+002    | 
|      749 |        1.33e+001    | 
|      750 |       -2.06e+002    | 
|      751 |       -2.06e+002    | 
|      752 |        5.20e+001    | 
|      753 |        5.20e+001    | 
|      754 |       -5.75e+002    | 
|      755 |        1.98e+002    | 
|      756 |        2.20e+002    | 
|      757 |       -9.42e+001    | 
|      758 |        5.21e+001    | 
|      759 |        5.36e+001    | 
|      760 |        5.36e+001    | 
|      761 |       -1.38e+002    | 
|      762 |        1.24e+001    | 
|      763 |       -1.79e+002    | 
|      764 |       -1.79e+002    | 
|      765 |        5.20e+001    | 
|      766 |        5.20e+001    | 
|      767 |       -4.87e+002    | 
|      768 |        1.62e+002    | 
|      769 |        1.31e+002    | 
|      770 |       -5.79e+001    | 
|      771 |        5.22e+001    | 
|      772 |        2.76e+001    | 
|      773 |        2.76e+001    | 
|      774 |       -1.38e+002    | 
|      775 |        1.26e+001    | 
|      776 |       -1.53e+002    | 
|      777 |       -1.53e+002    | 
|      778 |        5.22e+001    | 
|      779 |        5.22e+001    | 
|      780 |       -3.97e+002    | 
|      781 |        1.18e+002    | 
|      782 |        4.31e+001    | 
|      783 |       -1.96e+001    | 
|      784 |        4.94e+001    | 
|      785 |        2.14e+000    | 
|      786 |        2.14e+000    | 
|      787 |       -1.39e+002    | 
|      788 |        1.22e+001    | 
|      789 |       -1.29e+002    | 
|      790 |       -1.29e+002    | 
|      791 |        4.94e+001    | 
|      792 |        4.94e+001    | 
|      793 |       -3.24e+002    | 
|      794 |        1.77e+002    | 
|      795 |       -5.03e+001    | 
|      796 |        2.52e+001    | 
|      797 |        1.01e+002    | 
|      798 |       -2.38e+001    | 
|      799 |       -2.38e+001    | 
|      800 |       -1.31e+002    | 
|      801 |        1.93e+001    | 
|      802 |       -8.82e+001    | 
